Product_Name, Pricing, Ratings 
sung Galaxy F05 (Twilight Blue, 64 GB)","₹6,499","53,468 Ratings&3,144 Reviews"
Samsung 1200,₹743,"3,312 Ratings&235 Reviews"
Samsung Guru Music 2 B310ED,₹989,"10,805 Ratings&841 Reviews"
Samsung SM-B310EZDDINS,₹910,"5,886 Ratings&412 Reviews"
Samsung SM-B310EZDDINS,₹986,"5,886 Ratings&412 Reviews"
Samsung SM 1207,₹700,"4,001 Ratings&236 Reviews"
Samsung Guru Music 2,₹998,"1,675 Ratings&109 Reviews"
Samsung Guru 1200,₹972,"3,369 Ratings&251 Reviews"
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹9,199","12,301 Ratings&906 Reviews"
"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)","₹24,999","14,894 Ratings&1,068 Reviews"
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹11,499","1,604 Ratings&108 Reviews"
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹22,999","14,894 Ratings&1,068 Reviews"
"Samsung Galaxy M35 5G (Moonlight Blue, 128 GB)","₹13,727","21,338 Ratings&1,768 Reviews"
"Samsung Galaxy M35 5G (DayBreak Blue, 128 GB)","₹13,728","21,338 Ratings&1,768 Reviews"
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹13,499","1,105 Ratings&89 Reviews"
"Samsung M05 (Mint Green, 64 GB)","₹6,864","2,292 Ratings&107 Reviews"
"Samsung Galaxy M35 5G (DayBreak Blue, 256 GB)","₹19,475","2,388 Ratings&171 Reviews"
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹22,999","14,894 Ratings&1,068 Reviews"
"Samsung Galaxy M35 5G (Thunder Grey, 128 GB)","₹13,742","21,338 Ratings&1,768 Reviews"
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹12,999","2,465 Ratings&187 Reviews"
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹28,999","14,894 Ratings&1,068 Reviews"
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹12,999","2,465 Ratings&187 Reviews"
"Samsung Galaxy M35 5G (Moonlight Blue, 256 GB)","₹20,485","2,388 Ratings&171 Reviews"
"Samsung Galaxy M35 5G (Moonlight Blue, 128 GB)","₹15,430","2,388 Ratings&171 Reviews"
